avg,mapped_wreq,1-288,289-576,577-864,865-1152,1153-1440
1633,"{""mean"": 1624.0, ""bench"": ""video_processing-91bb6c6"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""vid_name\"": \""big_buck_bunny_360p_2mb.mp4\""}""}",107,119,122,119,108
295,"{""mean"": 294.3, ""bench"": ""image_rotate-2987f70faa3"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""img_name\"": \""img107k.jpeg\"", \""ops\"": \""filter-flip-gray_scale-rotate\""}""}",82,81,82,84,84
265,"{""mean"": 265.9, ""bench"": ""matmul_fb-ada33fd5b30f0c"", ""payload"": ""{\""N\"": 568, \""M\"": 568}""}",44,44,45,44,45
31,"{""mean"": 31.2, ""bench"": ""chameleon-61939efde6a3f9"", ""payload"": ""{\""nrow\"": 76, \""ncol\"": 76}""}",24,25,27,26,24
43,"{""mean"": 42.8, ""bench"": ""image_rotate-ef378c59f7a"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""img_name\"": \""img230k.jpeg\"", \""ops\"": \""flip-rotate\""}""}",16,22,29,30,22
4,"{""mean"": 4.0, ""bench"": ""rnn_serving-a18c442bdf41"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""language\"": \""Vietnamese\"", \""start_letters\"": \""ABCXYZ\"", \""model_parameter_object_key\"": \""rnn_params.pkl\"", \""model_object_key\"": \""rnn_model.pth\""}""}",20,28,25,22,21
19,"{""mean"": 18.9, ""bench"": ""image_rotate-6c4730dab3d"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""img_name\"": \""img201k.jpeg\"", \""ops\"": \""resize\""}""}",21,23,24,24,23
6,"{""mean"": 6.0, ""bench"": ""matmul_fb-af096d6215b6f6"", ""payload"": ""{\""N\"": 168, \""M\"": 168}""}",11,17,29,25,17
79,"{""mean"": 79.3, ""bench"": ""image_rotate-1c06940b459"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""img_name\"": \""img107k.jpeg\"", \""ops\"": \""flip-gray_scale-resize-rotate\""}""}",19,23,22,19,16
2,"{""mean"": 2.0, ""bench"": ""lr_serving-5bb35e320e18e"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""model_object_key\"": \""lr_model_reviews50mb.pk\"", \""tfidf_vect_object_key\"": \""lr_vectorizer_reviews50mb.pk\"", \""x\"": \""The ambiance is magical. The food and service was nice! The lobster and cheese was to die for and our steaks were cooked perfectly.  \""}""}",19,18,19,20,20
14,"{""mean"": 13.9, ""bench"": ""image_rotate-7af9ac7de9c"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""img_name\"": \""img072k.jpeg\"", \""ops\"": \""gray_scale\""}""}",18,18,17,17,17
18,"{""mean"": 18.0, ""bench"": ""matmul_fb-1419da268285e9"", ""payload"": ""{\""N\"": 240, \""M\"": 240}""}",8,23,14,18,12
28,"{""mean"": 27.8, ""bench"": ""image_rotate-7dddf273802"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""img_name\"": \""img032k.jpeg\"", \""ops\"": \""filter-gray_scale-resize\""}""}",13,13,15,15,14
1,"{""mean"": 1.0, ""bench"": ""matmul_fb-aac18bbfd32f73"", ""payload"": ""{\""N\"": 96, \""M\"": 96}""}",9,14,15,14,11
0,"{""mean"": 0.0, ""bench"": ""matmul_fb-1163cbfef04474"", ""payload"": ""{\""N\"": 8, \""M\"": 8}""}",12,13,13,12,12
244,"{""mean"": 243.8, ""bench"": ""chameleon-f385b3120de5d5"", ""payload"": ""{\""nrow\"": 264, \""ncol\"": 264}""}",6,2,8,27,14
242,"{""mean"": 243.8, ""bench"": ""chameleon-f385b3120de5d5"", ""payload"": ""{\""nrow\"": 264, \""ncol\"": 264}""}",12,11,12,12,9
30,"{""mean"": 30.0, ""bench"": ""pyaes-ed4a0797fa5e08334b"", ""payload"": ""{\""message_length\"": 4736, \""num_iterations\"": 1}""}",13,11,10,10,10
126,"{""mean"": 126.1, ""bench"": ""json_serdes-0acf29630a34"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n3712.json\""}""}",4,1,17,16,13
63,"{""mean"": 63.1, ""bench"": ""matmul_fb-e07cad87291c18"", ""payload"": ""{\""N\"": 360, \""M\"": 360}""}",8,9,9,9,9
5,"{""mean"": 5.0, ""bench"": ""matmul_fb-d805416b5dcc45"", ""payload"": ""{\""N\"": 160, \""M\"": 160}""}",13,13,3,3,3
16821,"{""mean"": 20802.8, ""bench"": ""lr_training-76dbbdb25bea"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""dataset_object_key\"": \""reviews50mb.csv\""}""}",6,9,8,7,3
33,"{""mean"": 33.0, ""bench"": ""pyaes-06053dc636f8dd6d0b"", ""payload"": ""{\""message_length\"": 5184, \""num_iterations\"": 1}""}",6,6,7,7,7
110,"{""mean"": 109.6, ""bench"": ""pyaes-38d72d7bbc7f134999"", ""payload"": ""{\""message_length\"": 17408, \""num_iterations\"": 1}""}",7,6,7,6,6
127,"{""mean"": 126.1, ""bench"": ""json_serdes-0acf29630a34"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n3712.json\""}""}",8,11,7,2,2
32,"{""mean"": 32.0, ""bench"": ""pyaes-c3d44c006cedf58386"", ""payload"": ""{\""message_length\"": 32, \""num_iterations\"": 101}""}",6,7,6,6,6
239,"{""mean"": 237.2, ""bench"": ""pyaes-69dd8b7a51b14dfaf7"", ""payload"": ""{\""message_length\"": 512, \""num_iterations\"": 76}""}",6,5,5,5,6
26,"{""mean"": 26.2, ""bench"": ""image_rotate-6b036592ef8"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""img_name\"": \""img146k.jpeg\"", \""ops\"": \""flip-gray_scale\""}""}",4,5,5,5,5
9,"{""mean"": 9.0, ""bench"": ""pyaes-5902c26d5935239c82"", ""payload"": ""{\""message_length\"": 1472, \""num_iterations\"": 1}""}",6,4,3,5,6
572,"{""mean"": 567.6, ""bench"": ""chameleon-97e55569b30520"", ""payload"": ""{\""nrow\"": 408, \""ncol\"": 408}""}",3,4,5,6,5
12,"{""mean"": 12.1, ""bench"": ""rnn_serving-c4c74d44a747"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""language\"": \""Greek\"", \""start_letters\"": \""QRSTUVWXYZABCDEF\"", \""model_parameter_object_key\"": \""rnn_params.pkl\"", \""model_object_key\"": \""rnn_model.pth\""}""}",4,3,4,6,5
208,"{""mean"": 208.1, ""bench"": ""json_serdes-43d9dd4d8c63"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n6400.json\""}""}",3,3,5,5,5
52,"{""mean"": 51.5, ""bench"": ""pyaes-483015007094a16191"", ""payload"": ""{\""message_length\"": 8128, \""num_iterations\"": 1}""}",3,4,5,6,4
36,"{""mean"": 36.0, ""bench"": ""pyaes-0d354323215e37e33e"", ""payload"": ""{\""message_length\"": 5632, \""num_iterations\"": 1}""}",5,4,3,4,5
73,"{""mean"": 72.8, ""bench"": ""chameleon-6c676a75abd8a6"", ""payload"": ""{\""nrow\"": 136, \""ncol\"": 136}""}",1,2,3,6,7
15,"{""mean"": 15.0, ""bench"": ""chameleon-74d4308a2a3a31"", ""payload"": ""{\""nrow\"": 32, \""ncol\"": 32}""}",3,5,4,4,3
55,"{""mean"": 55.0, ""bench"": ""matmul_fb-c1c45aa2d04252"", ""payload"": ""{\""N\"": 344, \""M\"": 344}""}",3,3,4,5,4
3,"{""mean"": 3.0, ""bench"": ""matmul_fb-e46e1e1022c74c"", ""payload"": ""{\""N\"": 128, \""M\"": 128}""}",4,3,3,5,3
857,"{""mean"": 860.5, ""bench"": ""chameleon-2c3fcfd4b22311"", ""payload"": ""{\""nrow\"": 504, \""ncol\"": 504}""}",4,4,3,4,4
4269,"{""mean"": 4232.6, ""bench"": ""pyaes-368569536ef6bb7292"", ""payload"": ""{\""message_length\"": 14336, \""num_iterations\"": 51}""}",4,3,4,3,4
34,"{""mean"": 34.0, ""bench"": ""pyaes-c0f45a1de88d8747a9"", ""payload"": ""{\""message_length\"": 16, \""num_iterations\"": 151}""}",3,2,3,4,4
24,"{""mean"": 24.0, ""bench"": ""pyaes-b70f6240bce755fe64"", ""payload"": ""{\""message_length\"": 3776, \""num_iterations\"": 1}""}",4,4,4,3,3
440,"{""mean"": 444.3, ""bench"": ""chameleon-7614e52b463374"", ""payload"": ""{\""nrow\"": 360, \""ncol\"": 360}""}",2,3,5,5,3
37,"{""mean"": 37.0, ""bench"": ""chameleon-df5f810d99eac5"", ""payload"": ""{\""nrow\"": 88, \""ncol\"": 88}""}",4,4,5,2,2
13,"{""mean"": 13.0, ""bench"": ""matmul_fb-143623b9c5009f"", ""payload"": ""{\""N\"": 216, \""M\"": 216}""}",1,2,5,5,3
45,"{""mean"": 45.1, ""bench"": ""matmul_fb-7bcf3917015314"", ""payload"": ""{\""N\"": 320, \""M\"": 320}""}",2,3,3,4,3
38,"{""mean"": 38.0, ""bench"": ""matmul_fb-241ea3132269f7"", ""payload"": ""{\""N\"": 304, \""M\"": 304}""}",3,2,2,3,3
418,"{""mean"": 421.4, ""bench"": ""json_serdes-78e0bf35457a"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n13312.json\""}""}",1,2,3,4,4
87,"{""mean"": 86.8, ""bench"": ""pyaes-5d81f51317c8bdae97"", ""payload"": ""{\""message_length\"": 96, \""num_iterations\"": 126}""}",2,6,3,0,1
107,"{""mean"": 106.0, ""bench"": ""pyaes-4ebd86c0e3e280450d"", ""payload"": ""{\""message_length\"": 336, \""num_iterations\"": 51}""}",3,2,2,3,3
75,"{""mean"": 74.3, ""bench"": ""pyaes-a5ae7bc23ccefa54c1"", ""payload"": ""{\""message_length\"": 11776, \""num_iterations\"": 1}""}",2,2,3,3,3
7230,"{""mean"": 7187.2, ""bench"": ""chameleon-99d67cd12990f3"", ""payload"": ""{\""nrow\"": 1472, \""ncol\"": 1472}""}",2,2,1,3,4
49,"{""mean"": 48.7, ""bench"": ""pyaes-52eef2f545abb88b33"", ""payload"": ""{\""message_length\"": 7680, \""num_iterations\"": 1}""}",4,3,2,2,2
57,"{""mean"": 57.0, ""bench"": ""pyaes-c3896e71bda910c56c"", ""payload"": ""{\""message_length\"": 352, \""num_iterations\"": 26}""}",2,2,2,2,2
210,"{""mean"": 208.1, ""bench"": ""json_serdes-43d9dd4d8c63"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n6400.json\""}""}",2,2,2,2,2
749,"{""mean"": 753.0, ""bench"": ""chameleon-445653043c4e13"", ""payload"": ""{\""nrow\"": 472, \""ncol\"": 472}""}",2,2,2,2,2
1157,"{""mean"": 1150.0, ""bench"": ""chameleon-2429c9fc2fc77c"", ""payload"": ""{\""nrow\"": 584, \""ncol\"": 584}""}",2,2,2,2,2
11,"{""mean"": 11.0, ""bench"": ""rnn_serving-0abbab7c5358"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""language\"": \""Scottish\"", \""start_letters\"": \""ABCDEFGHIJKLMNOP\"", \""model_parameter_object_key\"": \""rnn_params.pkl\"", \""model_object_key\"": \""rnn_model.pth\""}""}",1,2,2,3,2
212,"{""mean"": 210.2, ""bench"": ""pyaes-89a7f312f9e04d99f9"", ""payload"": ""{\""message_length\"": 336, \""num_iterations\"": 101}""}",2,2,2,2,2
64,"{""mean"": 64.0, ""bench"": ""pyaes-de17185298cfda82e1"", ""payload"": ""{\""message_length\"": 32, \""num_iterations\"": 201}""}",2,2,2,3,2
54,"{""mean"": 54.0, ""bench"": ""pyaes-620e44ac1ab56aea48"", ""payload"": ""{\""message_length\"": 336, \""num_iterations\"": 26}""}",2,2,2,2,2
238,"{""mean"": 235.8, ""bench"": ""pyaes-93961126ed58d9f0b9"", ""payload"": ""{\""message_length\"": 784, \""num_iterations\"": 51}""}",2,2,2,2,2
207,"{""mean"": 208.1, ""bench"": ""json_serdes-43d9dd4d8c63"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n6400.json\""}""}",1,1,3,4,2
94,"{""mean"": 93.7, ""bench"": ""pyaes-595123f57a95519143"", ""payload"": ""{\""message_length\"": 14848, \""num_iterations\"": 1}""}",2,2,2,2,2
8,"{""mean"": 8.0, ""bench"": ""matmul_fb-8881d1c55e2de7"", ""payload"": ""{\""N\"": 184, \""M\"": 184}""}",2,2,2,2,2
50,"{""mean"": 50.3, ""bench"": ""new_lr_serving-bf956d40f"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""model_object_key\"": \""lr_model_reviews10mb.pk\"", \""tfidf_vect_object_key\"": \""lr_vectorizer_reviews10mb.pk\"", \""x\"": \""My favorite cafe. I like going there on weekends, always taking a cafe and some of their pastry before visiting my parents.  \""}""}",2,2,2,2,2
993,"{""mean"": 1002.2, ""bench"": ""video_processing-3d4bd40"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""vid_name\"": \""big_buck_bunny_480p_1mb.mp4\""}""}",1,2,2,2,2
869,"{""mean"": 860.5, ""bench"": ""chameleon-2c3fcfd4b22311"", ""payload"": ""{\""nrow\"": 504, \""ncol\"": 504}""}",2,2,2,2,2
42,"{""mean"": 41.8, ""bench"": ""chameleon-c1edffb5aba455"", ""payload"": ""{\""nrow\"": 96, \""ncol\"": 96}""}",2,1,2,2,2
81,"{""mean"": 81.4, ""bench"": ""chameleon-9c8958ad2d2358"", ""payload"": ""{\""nrow\"": 144, \""ncol\"": 144}""}",1,1,2,2,2
